ParIndex,GRHL2,ZEB,miR200,SLUG,Count
227,0.771,0.254,180.248,2.085,1
227,17.855,0.097,180.248,2.085,1
228,2.407,306.354,0.064,163.932,3
228,83.178,0.02,4.997,163.932,2
229,0.21,32.254,0.176,3.098,1
229,0.21,1917.56,0.003,106.482,1
229,14.986,0.007,9.789,3.098,1
230,2.502,845.319,0.022,114.481,1
230,90.108,0,152.479,2.801,1
230,90.108,0.004,1.777,114.481,1
231,1.742,499.854,2.937,10.344,1
231,1.742,1433.135,0.203,85.486,1
231,61.526,0.002,158.663,10.344,1
231,61.526,0.005,10.985,85.486,1
232,0.761,30.559,11.998,4.14,1
232,0.761,467.85,0.285,96.628,1
232,27.709,0.054,8.112,96.628,1
232,27.709,0.054,341.001,4.14,1
233,6.614,953.873,0.036,66.419,1
233,141.529,0.003,3.129,66.419,2
234,2.304,27.188,1.356,12.123,1
234,2.304,2131.3,0.069,81.275,2
234,50.821,0,106.931,12.123,1
234,50.821,0.031,5.451,81.275,1
235,0.098,366.919,0.253,1.756,1
235,0.098,2093.596,0.085,93.906,1
236,26.649,16.701,0.048,349.348,1
236,321.071,0,120.453,3.627,1
236,321.071,0.128,1.28,349.348,1
237,1.138,0.412,10.607,2.27,1
237,1.138,267.659,0.139,2.27,1
237,1.138,5150.041,0.002,205.009,1
237,84.833,0.005,11.136,2.27,1
238,0.335,23.987,1.649,0.369,2
238,13.084,0.001,121.404,0.369,1
239,0.859,190.808,0.025,70.597,1
239,59.786,0,111.156,1.073,1
239,59.786,0.05,2.315,70.597,1
240,1.869,31.428,0.052,0.392,1
240,61.911,0.001,3.489,0.392,1
241,1.498,3.794,0.826,0.32,1
241,88.2,0,65.236,0.32,1
242,12.48,50.736,0.26,1.42,1
242,12.48,793.005,0.013,115.876,1
242,474.141,0.001,24.984,1.42,1
242,474.141,0.333,1.24,115.876,1
243,9.414,11.758,0.03,18.466,1
243,9.414,200.248,0.03,643.137,1
243,251.59,0.237,2.051,18.466,1
244,2.475,32.956,1.402,2.618,1
244,2.475,432.493,0.054,192.698,1
244,50.047,0.373,1.248,192.698,1
244,50.294,0.001,32.561,2.618,1
245,3.011,1309.33,0.086,127.538,1
245,116.699,0,85.572,4.928,1
245,116.699,0.003,0.927,127.538,1
246,4.795,1834.34,0.104,88.617,1
246,114.104,0,641.3,2.385,1
246,114.104,0.011,6.575,88.617,1
247,3.965,12.937,1.765,3.876,1
247,3.965,375.056,0.025,223.211,1
247,97.94,0,28.795,3.876,1
247,97.94,0.079,0.415,223.211,1
248,2.107,1205.214,0.027,80.318,2
248,184.349,0,64.808,0.84,2
249,2.281,17.651,2.374,0.915,1
249,2.281,832.8,0.075,82.002,2
249,95.361,0.001,205.497,0.915,1
250,27.532,38.856,1.71,1.026,1
250,27.532,130.375,0.031,43.478,1
250,117.176,0.009,149.26,1.026,1
250,117.176,0.717,149.26,1.026,1
251,0.484,32.731,0.236,0.849,1
251,0.484,2666.236,0.028,66.736,1
251,44.198,0,23.189,0.849,1
251,44.198,0.006,2.725,66.736,1
252,1.094,694.652,0.071,94.51,1
252,106.151,0.091,2.697,94.51,1
252,106.154,0.001,80.843,2.578,1
253,0.291,1685.738,0.09,56.801,3
254,10.908,43.693,0.499,4.632,1
254,10.908,4231.426,0.016,105.821,2
254,49.438,0.001,45.353,4.632,1
255,48.112,0.001,179.596,0.795,1
255,48.112,0.001,179.599,0.795,2
256,6.148,10.209,0.027,98.451,1
256,520.66,0.241,1.03,98.451,1
256,521.981,0,77.993,1.65,1
257,0.948,2975.161,0.12,126.006,1
