parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
9176,2,0202-2020,2020,0202-2020,2,0.1,3.423269,-3.514322,5.603682,-3.308946,0.1
9176,2,0202-2020,0202,0202-2020,2,0.9,-6.133236,6.68384,-2.884818,7.991464,0.9
9177,2,0202-2020,0202,0202-2012-2020,2,0.64,-2.500048,7.405402,-5.168511,7.525442,0.64
9177,2,0202-2020,2020,0202-2012-2020,2,0.36,7.789684,-4.297631,7.955321,0.18774,0.36
9178,2,0202-1012,1012,0202-1012,2,0.9,1.79223,-1.23154,1.313162,8.182008,0.9
9178,2,0202-1012,0202,0202-1012,2,0.1,-0.751663,6.310422,-5.301692,9.071092,0.1
9179,1,0202,0202,0202,1,1,-4.953765,3.963658,-8.229107,9.343417,1
9180,3,0202-1012-2020,1012,0202-1012-2020,3,0.73,1.028519,-0.115221,1.431862,5.671297,0.73
9180,3,0202-1012-2020,0202,0202-1012-2020,3,0.23,-4.843935,4.707008,-5.058102,8.610175,0.23
9180,3,0202-1012-2020,2020,0202-1012-2020,3,0.04,6.835504,-5.747745,6.877225,-0.386823,0.04
9181,2,0202-2020,0202,0202-2020,2,0.66,-4.743988,5.831182,-7.820437,6.67921,0.66
9181,2,0202-2020,2020,0202-2020,2,0.34,6.648099,-6.006927,4.015181,-6.272352,0.34
9182,2,0202-2020,2020,0202-2001-2020,2,0.74,6.8544,-5.015266,6.165016,-4.019604,0.74
9182,2,0202-2020,0202,0202-2001-2020,2,0.26,-2.339933,4.796455,-5.873773,6.778745,0.26
9183,3,0202-1210-2020,1210,0202-1210-2020,3,0.09,1.257286,4.267483,-1.620401,-4.864296,0.09
9183,3,0202-1210-2020,0202,0202-1210-2020,3,0.16,-2.811303,4.276679,-6.790842,5.20457,0.16
9183,3,0202-1210-2020,2020,0202-1210-2020,3,0.75,7.814631,-8.415944,3.979711,-4.865704,0.75
9184,5,0202-1202-2020-2102-2110,2020,0202-2020-2102-2110,5,0.15,7.949749,-8.222315,5.488472,-4.444725,0.15
9184,5,0202-1202-2020-2102-2110,2102,0202-2020-2102-2110,5,0.1,3.032819,-1.869679,-6.363345,2.108339,0.1
9184,5,0202-1202-2020-2102-2110,0202,0202-2020-2102-2110,5,0.01,-1.875099,3.902788,-6.365018,5.817296,0.01
9184,5,0202-1202-2020-2102-2110,1202,0202-2020-2102-2110,5,0.04,-1.179293,3.902788,-6.363361,2.108966,0.04
9184,5,0202-1202-2020-2102-2110,2110,0202-2020-2102-2110,5,0.7,7.949749,-1.869679,-0.489086,-4.444725,0.7
