parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
2140,2,0300-1010,0300,0300-1010,2,0.64,1.865498,7.283885,0.993325,-1.526346,0.64
2140,2,0300-1010,1010,0300-1010,2,0.36,8.231019,-7.876659,5.604012,-1.526346,0.36
2141,3,0010-0013-0313,0313,0010-0013-0313,3,0.02,-1.595859,3.944265,-2.385259,5.298647,0.02
2141,3,0010-0013-0313,0010,0010-0013-0313,3,0.91,4.657709,-8.767486,6.592897,0.35908,0.91
2141,3,0010-0013-0313,0013,0010-0013-0313,3,0.07,4.657709,-2.476393,3.132271,5.298647,0.07
2142,3,1010-1300-1303,1300,1010-1300-1303,3,0.34,3.316165,-0.786249,0.494718,0.376905,0.34
2142,3,1010-1300-1303,1010,1010-1300-1303,3,0.51,5.336965,-13.07248,4.704252,0.376905,0.51
2142,3,1010-1300-1303,1303,1010-1300-1303,3,0.15,3.316075,5.800022,-6.091022,6.104978,0.15
2143,4,0303-0310-1010-1013,1010,0303-0310-1010-1013,4,0.3,8.166893,-6.868485,8.209817,2.927742,0.3
2143,4,0303-0310-1010-1013,0310,0303-0310-1010-1013,4,0.13,2.197381,1.005989,2.453884,2.927742,0.13
2143,4,0303-0310-1010-1013,1013,0303-0310-1010-1013,4,0.19,8.166893,-2.234447,3.450001,7.628112,0.19
2143,4,0303-0310-1010-1013,0303,0303-0310-1010-1013,4,0.38,2.19738,10.507409000000001,-2.305932,7.628112,0.38
2144,4,0300-0303-1010-1013,1013,0300-0303-1010-1013,4,0.25,4.234384,-8.387094,1.70724,6.861186,0.25
2144,4,0300-0303-1010-1013,0303,0300-0303-1010-1013,4,0.35,-2.129943,8.922139,-4.786914,6.861186,0.35
2144,4,0300-0303-1010-1013,1010,0300-0303-1010-1013,4,0.3,4.234384,-13.226631,6.837026,0.277038,0.3
2144,4,0300-0303-1010-1013,0300,0300-0303-1010-1013,4,0.1,-2.129943,4.083011,0.342871,0.277041,0.1
2145,4,1010-1113-1203-1303,1303,1010-1013-1203-1303,4,0.32,5.101654,4.411171,-3.429891,5.441791,0.32
2145,4,1010-1113-1203-1303,1113,1010-1013-1203-1303,4,0.58,5.101654,-2.1602,0.923419,5.441791,0.58
2145,4,1010-1113-1203-1303,1010,1010-1013-1203-1303,4,0.07,7.263116,-12.113131,6.033441,2.284056,0.07
2145,4,1010-1113-1203-1303,1203,1010-1013-1203-1303,4,0.03,5.101654,-0.689675,-3.42989,5.441791,0.03
2146,3,0303-1010-1113,1010,0303-1010-1013-1113,3,0.53,7.30899,-13.906748,8.636628,2.584343,0.53
2146,3,0303-1010-1113,1113,0303-1010-1013-1113,3,0.29,7.30899,-3.026215,3.843028,6.523537,0.29
2146,3,0303-1010-1113,0303,0303-1010-1013-1113,3,0.18,0.772811,7.818886,0.219264,6.523537,0.18
2147,4,0301-0302-1001-1002,1001,0101-0102-0301-0302-1001-1002,4,0.13,7.997581,-5.703314,1.219629,2.7942109999999998,0.13
2147,4,0301-0302-1001-1002,0302,0101-0102-0301-0302-1001-1002,4,0.37,1.452345,4.901019,-4.727661,4.697539,0.37
2147,4,0301-0302-1001-1002,0301,0101-0102-0301-0302-1001-1002,4,0.32,1.452345,4.899951,-4.72766,2.7942109999999998,0.32
2147,4,0301-0302-1001-1002,1002,0101-0102-0301-0302-1001-1002,4,0.18,7.997581,-5.702238,1.219628,4.697539,0.18
2148,2,0300-1010,1010,0300-1010,2,0.81,7.661281,-15.076896,5.142852,-2.395335,0.81
2148,2,0300-1010,0300,0300-1010,2,0.19,1.254114,2.186934,-0.646312,-2.395335,0.19
2149,3,0303-1010-1013,0303,0303-1010-1013,3,0.23,1.28217,11.893601,-1.165167,5.827061,0.23
2149,3,0303-1010-1013,1013,0303-1010-1013,3,0.15,6.134538,-3.403368,5.282698,5.827061,0.15
2149,3,0303-1010-1013,1010,0303-1010-1013,3,0.62,6.134538,-9.091577,8.721713,0.17881,0.62
2150,4,0303-0310-1010-1013,1013,0303-0310-1010-1013,4,0.07,6.872413,-8.684868,1.766258,6.190125,0.07
2150,4,0303-0310-1010-1013,1010,0303-0310-1010-1013,4,0.57,6.872413,-12.83617,7.632219,-0.44044,0.57
2150,4,0303-0310-1010-1013,0310,0303-0310-1010-1013,4,0.23,1.846403,-0.100207,1.226482,-0.44044,0.23
2150,4,0303-0310-1010-1013,0303,0303-0310-1010-1013,4,0.13,1.846403,10.567379,-4.750952,6.190125,0.13
2151,2,1013-1303,1013,1013-1303,2,0.91,6.101374,-9.752794,1.902432,7.221245,0.91
2151,2,1013-1303,1303,1013-1303,2,0.09,5.70781,1.683138,-0.936792,7.221245,0.09
2152,2,0301-0303,0303,0301-0303-1011,2,0.92,1.796015,10.371345,-10.142109,6.149463,0.92
2152,2,0301-0303,0301,0301-0303-1011,2,0.08,1.796015,10.371345,-3.682659,0.825962,0.08
2153,3,0303-0310-1010,0303,0303-0310-1010,3,0.44,0.982866,12.056875,-5.596488,7.195506,0.44
2153,3,0303-0310-1010,0310,0303-0310-1010,3,0.35,0.983496,0.595156,0.527233,1.120605,0.35
2153,3,0303-0310-1010,1010,0303-0310-1010,3,0.21,7.422787,-11.818043,4.805011,1.120605,0.21
2154,1,0303,0303,0303,1,1,0.078582,10.092524,-5.931033,8.029477,1
2155,4,1011-1013-1301-1303,1301,1011-1013-1301-1303,4,0.33,3.912394,-0.102119,-4.054741,2.891771,0.33
2155,4,1011-1013-1301-1303,1013,1011-1013-1301-1303,4,0.12,6.4535,-6.038589,1.864598,6.080889,0.12
2155,4,1011-1013-1301-1303,1303,1011-1013-1301-1303,4,0.22,3.912304,5.885566,-4.054741,6.080889,0.22
2155,4,1011-1013-1301-1303,1011,1011-1013-1301-1303,4,0.33,6.4535,-12.02506,1.864599,2.891771,0.33
2156,4,0303-0310-1010-1013,0303,0303-0310-1010-1013,4,0.25,1.53095,9.69729,-3.395022,6.561652,0.25
2156,4,0303-0310-1010-1013,1013,0303-0310-1010-1013,4,0.31,6.62876,-6.17756,2.923884,6.561652,0.31
2156,4,0303-0310-1010-1013,1010,0303-0310-1010-1013,4,0.21,6.62876,-10.135249,9.482025,0.180716,0.21
2156,4,0303-0310-1010-1013,0310,0303-0310-1010-1013,4,0.23,1.53095,2.598544,3.162975,0.180716,0.23
2157,4,0300-0303-1010-1103,1010,0300-0303-1010-1103,4,0.26,7.311871,-12.61129,3.568639,1.037946,0.26
2157,4,0300-0303-1010-1103,1103,0300-0303-1010-1103,4,0.25,7.311871,-0.821466,-8.127967,6.850304,0.25
2157,4,0300-0303-1010-1103,0303,0300-0303-1010-1103,4,0.21,1.21519,8.410421,-8.127967,6.850304,0.21
2157,4,0300-0303-1010-1103,0300,0300-0303-1010-1103,4,0.28,1.21519,2.378946,-1.856857,1.037946,0.28
2158,4,0200-0300-0303-1010,0200,0200-0300-0303-1010,4,0.06,0.83967,-0.527178,-1.071445,0.769211,0.06
2158,4,0200-0300-0303-1010,0300,0200-0300-0303-1010,4,0.22,0.839665,2.515051,-1.071489,0.769211,0.22
2158,4,0200-0300-0303-1010,1010,0200-0300-0303-1010,4,0.47,6.39973,-11.814471,3.677392,0.769211,0.47
2158,4,0200-0300-0303-1010,0303,0200-0300-0303-1010,4,0.25,0.839665,8.96112,-7.20993,6.957426,0.25
2159,4,0303-0310-1010-1013,1013,0303-0310-1010-1013-1103,4,0.17,5.497483,-6.43023,3.219764,6.745846,0.17
