parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
5784,2,0303-3030,3030,0300-0303-1300-3020-3030,2,0.567,7.77474,-8.846149,7.181708,-11.331665,0.567
5784,2,0303-3030,0303,0300-0303-1300-3020-3030,2,0.433,-10.216602,7.394154,-7.530853,6.318785,0.433
5785,2,0303-3030,0303,0300-0303-3010-3030,2,0.87,-8.83921,6.576357,-12.218839,7.10682,0.87
5785,2,0303-3030,3030,0300-0303-3010-3030,2,0.13,5.91772,-10.196014,6.565244,-10.387065,0.13
5786,3,0133-0303-3030,0133,0030-0031-0303-3030,3,0.104,-5.805944,-0.267402,2.570881,6.013634,0.104
5786,3,0133-0303-3030,0303,0030-0031-0303-3030,3,0.188,-10.21792,7.015453,-0.695199,7.13639,0.188
5786,3,0133-0303-3030,3030,0030-0031-0303-3030,3,0.708,5.774657,-7.628958,7.938274,-9.548667,0.708
5787,2,0303-3030,3030,0103-0230-0303-2003-3000-3030,2,0.214,6.977318,-9.410544,4.382818,-5.624469,0.214
5787,2,0303-3030,0303,0103-0230-0303-2003-3000-3030,2,0.786,-5.620899,5.43193,-7.866873,6.665218,0.786
5788,2,0303-3030,0303,0210-0230-0300-0303-1210-1230-1300-3010-3030,2,0.378,-10.308005,8.870696,-8.053568,4.772349,0.378
5788,2,0303-3030,3030,0210-0230-0300-0303-1210-1230-1300-3010-3030,2,0.622,6.53369,-8.518927,7.315434,-13.075905,0.622
5789,2,0303-3000,0303,0003-0303-1000-3000,2,0.734,-10.489775,4.65151,-14.083021,6.990816,0.734
5789,2,0303-3000,3000,0003-0303-1000-3000,2,0.266,6.185887,-4.503467,-4.013209,-0.238588,0.266
5790,3,0003-0303-3030,3030,0003-0303-1030-3030,3,0.945,7.319577,-12.094572,7.354285,-10.353095,0.945
5790,3,0003-0303-3030,0303,0003-0303-1030-3030,3,0.004,-8.268212,3.509022,-2.837348,4.780116,0.004
5790,3,0003-0303-3030,0003,0003-0303-1030-3030,3,0.051,-4.555254,-0.214894,-0.552498,4.773309,0.051
